# Ordem,Estado,Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,# ofertas
0157,Pago,3,Lisboa,"100,000 - 350,000","100,000 - 350,000",15000,B-,24,24.0,0.0708,0.07076384137027136,162
0158,Pago,12,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",15000,C+,18,18.0,0.0782,0.07819840043188186,138
0159,Pago,38,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B,24,24.0,0.0609,0.06750501,203
0160,Pago,3,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",15000,C,24,24.0,0.0959,0.09589999999998994,89
0161,Pago,10,Estremadura e Ribatejo,"350,000-500,000","350,000-500,000",15000,B+,24,24.0,0.0509,0.059101555700418223,152
0162,Pago,9,Beira Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B-,24,24.0,0.0708,0.07794067495808851,229
0163,Pago,7,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",20000,B+,24,24.0,0.0509,0.05084879457989602,191
0164,Pago,38,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B+,24,24.0,0.0509,0.07163670120122687,179
0165,Pago,5,Minho e Douro Litoral,"<100,000","<100,000",15000,B-,24,24.0,0.0708,0.09476944497200515,95
0166,Pago,21,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",25000,C+,24,24.0,0.0834,0.08395822589625307,291
0167,Pago,12,Estremadura e Ribatejo,"500,000-1,500,000","350,000-500,000",15000,B-,24,24.0,0.0708,0.0708,164
0168,Pago,5,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",15000,C,24,24.0,0.0959,0.09589640095677918,139
0169,Pago,3,Estremadura e Ribatejo,"100,000 - 350,000","<100,000",15000,C+,24,24.0,0.0834,0.08335011497063877,123
0170,Pago,46,Beira Interior,"500,000-1,500,000","500,000-1,500,000",20000,B+,18,18.0,0.045700000000000005,0.045654631069086564,196
0171,Pago,31,Estremadura e Ribatejo,">=1,500,000","500,000-1,500,000",20000,B,24,24.0,0.0609,0.060834173019272936,177
0172,Regular,5,Trás os Montes e Alto Douro,"<100,000","100,000 - 350,000",10000,C,36,27.0,0.0999,0.10126563327047412,84
0173,Regular,6,Lisboa,"100,000 - 350,000","350,000-500,000",20000,C+,36,27.0,0.0874,0.08735499085622093,146
0174,Regular,10,Beira Interior,"100,000 - 350,000","350,000-500,000",15000,R,6,6.0,0.1,0.08339547127648807,92
0175,Pago,7,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",25000,B-,24,24.0,0.0708,0.07042804205077008,185
0176,Pago,56,Algarve,"100,000 - 350,000","500,000-1,500,000",20000,B,24,24.0,0.0609,0.06065196439248359,122
0177,Regular,11,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,R,10,2.0,0.1,0.09561570735021485,153
0178,Pago,18,Beira Litoral,"350,000-500,000","100,000 - 350,000",20000,B,24,24.0,0.0609,0.060829990141362394,169
0179,Pago,11,Alentejo,"100,000 - 350,000","100,000 - 350,000",20000,B-,12,12.0,0.0605,0.060451078159668006,167
0180,Pago,10,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",20000,B+,24,24.0,0.0509,0.050578409860500356,197
0181,Regular,3,Beira Litoral,"<100,000","350,000-500,000",25000,C+,36,26.0,0.0874,0.08735394168883139,209
0182,Pago,9,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",25000,B+,24,24.0,0.0509,0.0551251629673052,252
0183,Pago,3,Beira Litoral,"<100,000","<100,000",15000,B,24,24.0,0.0609,0.06074058804101147,165
0184,Pago,15,Minho e Douro Litoral,"500,000-1,500,000","350,000-500,000",25000,C+,24,24.0,0.0834,0.08339828035484045,165
0185,Pago,21,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B,24,24.0,0.0609,0.060894176465501805,145
0186,Pago,10,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",15000,C,24,24.0,0.0958,0.09585223684882398,144
0187,Em recuperação,4,Minho e Douro Litoral,"100,000 - 350,000","<100,000",20000,C+,24,18.0,0.0834,0.0833747783135583,162
0188,Pago,41,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B+,18,18.0,0.0455,0.045576712850219074,177
0189,Pago,12,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,B,24,24.0,0.0609,0.0608695986983849,171
0190,Pago,15,Beira Interior,">=1,500,000",">=1,500,000",50000,B,12,12.0,0.0506,0.05057889174817194,378
0191,Pago,7,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",15000,C,24,24.0,0.0959,0.09560302126161399,125
0192,Pago,30,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",25000,B,24,24.0,0.0609,0.060886781145670296,220
0193,Pago,7,Minho e Douro Litoral,"500,000-1,500,000","350,000-500,000",20000,B,24,24.0,0.0609,0.0607,213
0194,Pago,5,Minho e Douro Litoral,"500,000-1,500,000","350,000-500,000",20000,B-,24,24.0,0.0708,0.07030567062813796,162
0195,Regular,10,Estremadura e Ribatejo,"100,000 - 350,000","350,000-500,000",40000,C+,36,25.0,0.0874,0.1051833090588663,257
0196,Pago,13,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",10000,B+,24,24.0,0.0509,0.05090000000000705,70
0197,Pago,24,Estremadura e Ribatejo,"350,000-500,000","350,000-500,000",20000,B,24,24.0,0.0609,0.0609,169
0198,Regular,19,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",25000,B,36,25.0,0.0649,0.06585708851486327,219
0199,Pago,30,Beira Litoral,"500,000-1,500,000",">=1,500,000",30000,B+,24,24.0,0.0509,0.05380020035387096,251
0200,Pago,14,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,C+,24,24.0,0.0834,0.08337688258509104,179
0201,Regular,5,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",25000,R,60,13.0,0.1,0.08334830202540805,209
0202,Regular,20,Açores,"500,000-1,500,000","500,000-1,500,000",20000,B+,36,25.0,0.0549,0.05739274480816861,193
0203,Regular,5,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",30000,R,60,16.0,0.1,0.07408537001422918,224
0204,Regular,2,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",25000,C,36,25.0,0.0999,0.0997009260689962,171
0205,Regular,7,Algarve,"100,000 - 350,000","100,000 - 350,000",30000,B-,36,25.0,0.0748,0.07489474654994971,298
0206,Pago,6,Açores,"100,000 - 350,000","100,000 - 350,000",10000,C,12,12.0,0.0856,0.08548491179088104,88
0207,Regular,8,Minho e Douro Litoral,"350,000-500,000","350,000-500,000",25000,B,36,25.0,0.0649,0.07472824716006439,219
0208,Regular,70,Lisboa,"100,000 - 350,000","100,000 - 350,000",20000,B,36,24.0,0.0649,0.08431271554910039,151
0209,Pago,5,Estremadura e Ribatejo,"500,000-1,500,000","100,000 - 350,000",20000,B-,24,24.0,0.0708,0.07079455089219763,170
0210,Pago,2,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",25000,C+,24,24.0,0.0834,0.08330409446058197,216
0211,Pago,38,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",15000,C,24,24.0,0.0958,0.0958801009788851,129
0212,Pago,11,Trás os Montes e Alto Douro,"350,000-500,000","100,000 - 350,000",25000,B-,36,36.0,0.0748,0.07695549794053608,180
0213,Pago,15,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",15000,C,24,24.0,0.0958,0.09586900781923155,149
0214,Regular,3,Lisboa,"<100,000","100,000 - 350,000",20000,C,36,24.0,0.0999,0.09988767816613742,118
0215,Pago,15,Beira Interior,"100,000 - 350,000","100,000 - 350,000",15000,B-,24,24.0,0.0708,0.07079870018999283,123
0216,Pago,16,Algarve,"100,000 - 350,000","100,000 - 350,000",20000,C,24,24.0,0.0959,0.0958839242397829,181
0217,Pago,7,Minho e Douro Litoral,"500,000-1,500,000","350,000-500,000",50000,B-,18,18.0,"6,57%",0.0656519193453777,380
0218,Pago,4,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",15000,C+,24,24.0,0.0834,0.08339183427650015,137
0219,Pago,7,Lisboa,"350,000-500,000","500,000-1,500,000",25000,C,24,24.0,0.0959,0.09585567095403918,235
0220,Pago,10,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",25000,B,24,24.0,"6,09%",0.06410587404179555,232
0221,Pago,9,Beira Litoral,"500,000-1,500,000","350,000-500,000",12500,C+,24,24.0,0.0834,0.0894145121719962,103
0222,Pago,3,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",32000,C,36,36.0,0.0997,0.09978951461568074,226
0223,Pago,7,Lisboa,"500,000-1,500,000","350,000-500,000",25000,B,24,24.0,"6,09%",0.0607,187
0224,Pago,3,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",10000,B-,24,24.0,0.0708,0.0707999999999924,95
0225,Em recuperação,4,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",25000,B-,24,15.0,0.0708,0.0898461130538169,184
0226,Pago,34,Algarve,"100,000 - 350,000","100,000 - 350,000",25000,B,24,24.0,"6,09%",0.060750125892129775,192
0227,Pago,12,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",25000,B-,24,24.0,0.0708,0.08009360949511292,221
0228,Pago,11,Estremadura e Ribatejo,"100,000 - 350,000","350,000-500,000",50000,C+,12,12.0,0.0731,0.07929464039410636,362
0229,Pago,6,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",15000,B,24,24.0,0.0609,0.060894601277214494,130
0230,Regular,5,Estremadura e Ribatejo,"100,000 - 350,000","<100,000",20000,C+,24,23.0,0.0834,0.0831,187
0231,Regular,9,Minho e Douro Litoral,"100,000 - 350,000","<100,000",20000,B-,24,23.0,0.0708,0.0708,171
0232,Pago,6,Beira Litoral,"<100,000","500,000-1,500,000",20000,C,24,24.0,0.0957,0.09571673547644527,125
0233,Regular,26,Estremadura e Ribatejo,"<100,000","350,000-500,000",10000,C+,36,23.0,0.0874,0.08738082013849266,101
0234,Regular,3,Beira Litoral,"350,000-500,000","100,000 - 350,000",30000,B-,24,23.0,0.0708,0.07075110462364545,271
0235,Regular,11,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",15000,C+,24,23.0,0.0834,0.08339293823779903,133
0236,Regular,12,Minho e Douro Litoral,"<100,000","100,000 - 350,000",15000,C,36,23.0,0.0999,0.09982812567569498,152
0237,Regular,4,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,B-,24,23.0,0.0708,0.07076625914412933,225
0238,Regular,11,Lisboa,"100,000 - 350,000","350,000-500,000",20000,C+,36,23.0,0.0874,0.08734190955645467,180
0239,Pago,13,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",25000,B-,36,36.0,0.0747,0.07775043411855445,218
0240,Regular,10,Lisboa,">=1,500,000","500,000-1,500,000",25000,B-,24,23.0,"7,07%",0.07165988905118843,235
0241,Regular,14,Lisboa,"<100,000","<100,000",20000,B,24,23.0,0.0609,0.06086635348734624,197
0242,Regular,37,Lisboa,"100,000 - 350,000","100,000 - 350,000",15000,B,24,23.0,"6,09%",0.0608955674540992,114
0243,Pago,3,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",50000,C+,12,12.0,0.0731,0.073,299
0244,Regular,9,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,C+,24,23.0,0.0834,0.08335284,210
0245,Regular,6,Estremadura e Ribatejo,"<100,000","<100,000",20000,B-,36,23.0,0.0748,0.07501621,187
0246,Pago,2,Estremadura e Ribatejo,"<100,000","<100,000",25000,C+,12,12.0,0.0731,0.07309658012882812,207
0247,Regular,24,Minho e Douro Litoral,"500,000-1,500,000",">=1,500,000",30000,C,36,23.0,0.0995,0.09950420596400561,201
0248,Pago,6,Lisboa,"100,000 - 350,000","100,000 - 350,000",25000,B-,24,24.0,0.0708,0.07077367253590476,201
0249,Pago,8,Lisboa,"100,000 - 350,000","<100,000",15000,C+,24,24.0,0.0834,0.08879524562336336,155
0250,Regular,6,Lisboa,"100,000 - 350,000","100,000 - 350,000",25000,C+,24,22.0,0.0834,0.083262320384065,252
0251,Regular,3,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,C,36,22.0,0.0999,0.0998819781066039,136
0252,Pago,12,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",15000,C+,24,24.0,0.0959,0.08339900002964513,137
0253,Em recuperação,12,Minho e Douro Litoral,"350,000-500,000","500,000-1,500,000",20000,C,36,16.0,0.0959,0.09588445098528983,152
0254,Regular,3,Algarve,"100,000 - 350,000","500,000-1,500,000",25000,C,24,22.0,0.0999,0.09987567436393091,200
0255,Regular,8,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",20000,B-,36,22.0,0.0748,0.075097552913127,192
0256,Regular,7,Estremadura e Ribatejo,"500,000-1,500,000","100,000 - 350,000",25000,B-,36,22.0,0.0748,0.07846674512446043,289
0257,Regular,8,Minho e Douro Litoral,"100,000 - 350,000","<100,000",15000,C+,36,22.0,0.0874,0.08732577465519634,171
0258,Regular,10,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",20000,B,24,22.0,0.0609,0.060845250774919736,203
0259,Pago,3,Minho e Douro Litoral,"<100,000","<100,000",15000,C,24,24.0,0.0959,0.09588242097830475,182
0260,Regular,38,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B-,24,22.0,0.0708,0.08780390035949345,161
0261,Regular,19,Minho e Douro Litoral,"<100,000","100,000 - 350,000",15000,C+,24,22.0,0.0834,0.08338540375902984,200
0262,Pago,2,Minho e Douro Litoral,"<100,000","<100,000",15000,C+,24,24.0,0.0834,0.08338583995236731,178
0263,Regular,4,Lisboa,"350,000-500,000","100,000 - 350,000",20000,C+,24,22.0,0.0834,0.08332312852809448,202
0264,Regular,3,Minho e Douro Litoral,"100,000 - 350,000","<100,000",10000,C+,24,22.0,0.0834,0.08339670118553175,114
0265,Regular,2,Minho e Douro Litoral,"<100,000","350,000-500,000",25000,C,24,22.0,0.0959,0.09588670343011965,242
0266,Pago,7,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",15000,B,12,12.0,0.0506,0.05057013784794996,131
0267,Regular,3,Alentejo,"100,000 - 350,000","100,000 - 350,000",20000,C+,24,22.0,0.0834,0.08332155120013528,222
0268,Regular,15,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",25000,B+,24,22.0,0.0509,0.050813804043342146,299
0269,Regular,31,Estremadura e Ribatejo,">=1,500,000","500,000-1,500,000",32000,C+,36,21.0,0.0874,0.08723886286278,319
0270,Regular,4,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,R,60,16.0,0.1,0.08635395225657377,158
0271,Regular,15,Lisboa,"350,000-500,000","500,000-1,500,000",20000,B-,36,21.0,0.0748,0.0747443419173776,208
0272,Incobrável,8,Minho e Douro Litoral,"500,000-1,500,000","100,000 - 350,000",20000,B-,24,5.0,0.0708,0.0800302000018024,212
0273,Pago,40,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",25000,B,18,18.0,0.0557,0.055690686439997944,309
0274,Pago,4,Estremadura e Ribatejo,"500,000-1,500,000","100,000 - 350,000",20000,B-,24,24.0,0.0708,0.07077165624231807,234
0275,Pago,17,Alentejo,"100,000 - 350,000","350,000-500,000",15000,B-,24,24.0,0.0708,0.07079626756567618,197
0276,Regular,17,Estremadura e Ribatejo,"100,000 - 350,000","<100,000",25000,B,36,21.0,0.0649,0.07101880668737147,257
0277,Regular,2,Estremadura e Ribatejo,"100,000 - 350,000","<100,000",25000,C,36,21.0,0.0999,0.09983404115390063,202
0278,Pago,3,Estremadura e Ribatejo,"100,000 - 350,000","<100,000",75000,C+,18,18.0,0.0781,0.07811713666807414,380
0279,Regular,37,Lisboa,"100,000 - 350,000","100,000 - 350,000",10000,B-,24,21.0,0.0708,0.07079740041528809,115
0280,Regular,4,Lisboa,"100,000 - 350,000","<100,000",15000,C,24,21.0,0.0959,0.09589830040532779,122
0281,Regular,11,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",20000,B,36,21.0,0.0649,0.06481315422362827,223
0282,Regular,15,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,C+,24,21.0,0.0834,0.08335923307181219,191
0283,Pago,5,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",20000,B-,36,36.0,0.0815,0.08148806997864327,203
0284,Regular,2,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",25000,C+,36,21.0,0.0874,0.08719384723688563,265
0285,Regular,5,Estremadura e Ribatejo,"500,000-1,500,000","100,000 - 350,000",15000,B-,36,21.0,0.0748,0.07474428086883754,154
0286,Pago,21,Estremadura e Ribatejo,"100,000 - 350,000","350,000-500,000",30000,C,18,18.0,0.0906,0.0906208618671939,294
0287,Regular,2,Minho e Douro Litoral,"<100,000","<100,000",20000,R,28,0.0,0.1,0.09589947501547863,179
0288,Regular,29,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",25000,C+,24,21.0,0.0834,0.0833757751066593,282
0289,Regular,4,Algarve,"100,000 - 350,000","<100,000",25000,C,36,21.0,0.0998,0.09986535594321662,239
0290,Regular,5,Lisboa,"100,000 - 350,000","<100,000",20000,C,36,21.0,0.0999,0.09989850017665436,152
0291,Regular,9,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",25000,C,36,21.0,0.0999,0.09989746051398185,224
0292,Pago,6,Beira Litoral,"350,000-500,000",">=1,500,000",25000,B-,18,18.0,0.0657,0.06565635506286098,301
0293,Incobrável,4,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",30000,B-,36,11.0,0.0748,0.08322199746491125,248
0294,Pago,13,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",25000,C+,24,24.0,0.0834,0.08329102037902938,247
0295,Regular,6,Trás os Montes e Alto Douro,"350,000-500,000","350,000-500,000",30000,B-,24,20.0,0.0708,0.07066967131219842,252
0296,Regular,3,Estremadura e Ribatejo,"100,000 - 350,000","<100,000",30000,C,24,20.0,0.0959,0.0958922597872668,217
0297,Pago,4,Estremadura e Ribatejo,"<100,000","<100,000",10000,C,24,24.0,0.0959,0.0958660339375835,101
0298,Regular,21,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",30000,B,24,20.0,0.0609,0.06083434293744637,308
0299,Regular,5,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",30000,B-,24,20.0,0.0708,0.07073180538629395,268
0300,Regular,3,Estremadura e Ribatejo,"<100,000","<100,000",40000,C+,24,20.0,0.0834,0.09910928414523455,344
0301,Regular,32,Lisboa,"100,000 - 350,000","<100,000",5000,B+,24,20.0,0.0509,0.05089999999998354,54
0302,Pago,16,Beira Litoral,"<100,000","<100,000",10000,C,24,24.0,0.0959,0.09589620071320709,97
0303,Pago,3,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,C+,36,36.0,0.0874,0.08732774460964492,195
0304,Regular,6,Estremadura e Ribatejo,"<100,000","<100,000",20000,C,24,20.0,0.0959,0.0958952005090491,175
0305,Pago,4,Lisboa,"100,000 - 350,000","100,000 - 350,000",15000,B+,36,36.0,0.0549,0.05483189431057259,161
0306,Pago,12,Alentejo,"350,000-500,000","100,000 - 350,000",25000,C,12,12.0,0.0856,0.08558455629356772,178
0307,Regular,6,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,C,36,20.0,0.0999,0.09988783864207504,216
0308,Regular,13,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",30000,B,36,20.0,0.0649,0.0652659230664427,283
0309,Regular,32,Beira Litoral,"500,000-1,500,000","500,000-1,500,000",25000,B,24,20.0,0.0609,0.0608613465870368,245
0310,Pago,26,Beira Interior,"100,000 - 350,000","100,000 - 350,000",10000,B-,24,24.0,0.0708,0.07077260434547372,117
0311,Regular,26,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,C,24,20.0,0.0959,0.09589705063189098,144
0312,Regular,8,Minho e Douro Litoral,"350,000-500,000","350,000-500,000",10000,B,36,19.0,0.0649,0.06489730109653884,136
0313,Regular,25,Minho e Douro Litoral,"100,000 - 350,000","500,000-1,500,000",5000,C,36,19.0,0.0999,0.09990000000018905,61
0314,Pago,4,Minho e Douro Litoral,"100,000 - 350,000","<100,000",10000,C,36,36.0,0.0999,0.09989640183529591,103
0315,Regular,7,Algarve,"<100,000","<100,000",20000,C,24,19.0,0.0959,0.09589677550167862,210
0316,Regular,2,Lisboa,"100,000 - 350,000","100,000 - 350,000",30000,B-,36,19.0,0.0748,0.07474080214496032,329
0317,Regular,30,Beira Litoral,">=1,500,000",">=1,500,000",20000,B+,24,19.0,0.0509,0.05178333788850237,170
0318,Regular,10,Minho e Douro Litoral,"500,000-1,500,000","100,000 - 350,000",20000,C,24,19.0,0.0959,0.09589672584107731,152
0319,Regular,11,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,C+,36,19.0,0.0874,0.08727069938145657,191
0320,Pago,12,Minho e Douro Litoral,"350,000-500,000","500,000-1,500,000",15000,C,3,3.0,0.1,0.10000000000340084,120
0321,Regular,3,Alentejo,"100,000 - 350,000","<100,000",20000,B-,36,19.0,0.0748,0.07479482648942529,225
0322,Regular,8,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",15000,R,28,5.0,0.1,0.09589983333828134,75
0323,Regular,4,Alentejo,"100,000 - 350,000","<100,000",10000,C,24,19.0,0.0959,0.09589300326184866,104
0324,Pago,2,Lisboa,"<100,000","<100,000",10000,C+,24,24.0,0.0834,0.08340000000001145,74
0325,Regular,5,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,B,36,19.0,0.0649,0.07495917995945593,153
0326,Pago,3,Lisboa,"<100,000","<100,000",10000,B-,24,24.0,0.0708,0.07079999999998692,101
0327,Pago,25,Estremadura e Ribatejo,"350,000-500,000","350,000-500,000",10000,B,24,24.0,0.0609,0.06086042651541278,141
0328,Regular,9,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,C+,36,19.0,0.0874,0.08738747627581223,184
0329,Regular,4,Minho e Douro Litoral,"100,000 - 350,000","<100,000",20000,C+,24,19.0,0.0834,0.08320620426281272,179
0330,Pago,5,Minho e Douro Litoral,"<100,000","<100,000",10000,B,36,36.0,0.0649,0.0648987501927864,119
0331,Regular,27,Minho e Douro Litoral,"100,000 - 350,000","500,000-1,500,000",30000,B+,24,19.0,0.0509,0.05332379335279937,342
0332,Pago,19,Beira Litoral,"100,000 - 350,000",">=1,500,000",15000,B,18,18.0,0.0557,0.055693333627626504,164
0333,Pago,30,Minho e Douro Litoral,"100,000 - 350,000","500,000-1,500,000",30000,B-,24,24.0,0.0708,0.07079875006858018,316
0334,Regular,4,Lisboa,"100,000 - 350,000","100,000 - 350,000",25000,B,36,19.0,0.0649,0.06484322423809141,278
0335,Pago,17,Estremadura e Ribatejo,"350,000-500,000","350,000-500,000",10000,B-,24,24.0,0.0708,0.07079580088375464,95
0336,Regular,9,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",20000,B-,24,19.0,0.0708,0.07069507064180822,189
0337,Pago,7,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",30000,C+,12,12.0,0.0731,0.07309215261394007,251
0338,Regular,24,Minho e Douro Litoral,"<100,000","100,000 - 350,000",20000,B,24,19.0,0.0609,0.06468557005594466,227
0339,Pago,21,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",10000,B,12,12.0,0.0506,0.05059350031503754,115
0340,Regular,11,Lisboa,"500,000-1,500,000","100,000 - 350,000",15000,C,24,19.0,0.0959,0.09584897195789704,139
0341,Regular,6,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",30000,B,24,18.0,0.0609,0.0609,337
0342,Regular,17,Alentejo,"100,000 - 350,000","500,000-1,500,000",25000,B-,36,18.0,0.0748,0.07475603991707351,225
0343,Pago,5,Trás os Montes e Alto Douro,"100,000 - 350,000","100,000 - 350,000",5000,C,12,12.0,0.0856,0.0856,57
0344,Regular,20,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",15000,C,36,18.0,0.0999,0.09989866672396602,150
0345,Regular,3,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",15000,C,24,18.0,0.0959,0.09589999999999962,91
0346,Regular,22,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",15000,C,24,18.0,0.0959,0.09589960001182264,169
0347,Pago,19,Beira Litoral,"350,000-500,000","100,000 - 350,000",30000,B-,36,36.0,0.0748,0.0752,323
0348,Pago,4,Lisboa,"100,000 - 350,000","100,000 - 350,000",25000,B+,36,36.0,0.0549,0.0549,241
0349,Regular,13,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",35000,B-,36,18.0,0.0748,0.0799,357
0350,Regular,10,Beira Litoral,"350,000-500,000","100,000 - 350,000",25000,B,36,18.0,0.0649,0.07125416467436424,253
0351,Regular,2,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",25000,C,24,18.0,0.0959,0.09589970000886104,177
0352,Em recuperação,5,Alentejo,"500,000-1,500,000","350,000-500,000",25000,C+,24,9.0,0.0834,0.0882,231
0353,Regular,3,Beira Litoral,"<100,000","<100,000",15000,R,19,2.0,0.1,0.09590000000000488,141
0354,Regular,2,Açores,">=1,500,000","500,000-1,500,000",50000,B-,24,18.0,0.0708,0.07138664847409315,506
0355,Pago,15,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",30000,B,36,36.0,0.0649,0.06484561221443988,363
0356,Regular,4,Madeira,"<100,000","<100,000",20000,C,36,18.0,0.0999,0.09989860017732344,182
0357,Regular,6,Minho e Douro Litoral,"100,000 - 350,000","<100,000",15000,R,36,2.0,0.1,0.09590000000000043,139
0358,Regular,14,Minho e Douro Litoral,"<100,000","<100,000",15000,C+,36,17.0,0.0874,0.08739446964016967,183
0359,Regular,4,Beira Litoral,"<100,000","<100,000",25000,B+,36,17.0,0.0549,0.054787398047170366,286
0360,Regular,25,Minho e Douro Litoral,"<100,000","<100,000",20000,B,36,17.0,0.0649,0.06487324268037281,228
0361,Regular,9,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",20000,C+,36,17.0,0.0874,0.0873810637372066,227
0362,Regular,10,Beira Litoral,"<100,000","<100,000",15000,B,24,17.0,0.0609,0.06089683352430137,185
0363,Regular,4,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",15000,C,24,17.0,0.0959,0.09587402986983351,137
0364,Em recuperação,3,Minho e Douro Litoral,"500,000-1,500,000","100,000 - 350,000",15000,C,24,12.0,0.0959,0.09589366953086623,158
0365,Regular,17,Algarve,"100,000 - 350,000","100,000 - 350,000",10000,C+,24,17.0,0.0834,0.08339999999998768,129
0366,Pago,4,Minho e Douro Litoral,"350,000-500,000","<100,000",15000,B-,24,24.0,0.0708,0.07077850502652479,155
0367,Regular,7,Beira Interior,"100,000 - 350,000","350,000-500,000",10000,B-,36,17.0,0.0748,0.07480000000078461,133
0368,Regular,8,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",25000,B-,24,17.0,0.0708,0.07079728062678621,269
0369,Pago,2,Beira Interior,"350,000-500,000","100,000 - 350,000",25000,B-,24,24.0,0.0708,0.07076286846255113,265
